전표번호,발주일자,봉투 종류,협회코드,제작업체,수량,조달수수료,조달단가,금액,미입고수량,수정구분,수정일자,LOT발생구분,전송구분,데이터기준일자
A00000088,2003-08-25,일반용 10L,1,(주)제임스케미칼,200000,0,19.6,3920000,0,M,2004-05-31,1,1,2020-09-15
A00000089,2003-08-25,일반용 20L,1,(주)제임스케미칼,200000,0,31.6,6320000,0,M,2003-11-27,1,1,2020-09-15
A00000089,2003-08-25,일반용 20L,1,(주)제임스케미칼,200000,0,31.6,6320000,0,M,2003-11-27,1,1,2020-09-15
A00000090,2003-10-31,스티커 1000원,3,금성사,3000,0,184,552000,3000,D,2003-10-31,1,1,2020-09-15
A00000090,2003-10-31,대형폐기물스티커 1000원권,3,금성사,3000,0,184,552000,3000,D,2003-10-31,1,1,2020-09-15
A00000091,2003-10-31,스티커 5000원,3,금성사,5000,0,184,920000,5000,D,2003-10-31,1,1,2020-09-15
A00000091,2003-10-31,대형폐기물스티커 5000원권,3,금성사,5000,0,184,920000,5000,D,2003-10-31,1,1,2020-09-15
A00000092,2003-11-05,스티커 1000원,3,성광디자인(주),3000,0,184,552000,0,M,2003-11-10,1,1,2020-09-15
A00000092,2003-11-05,대형폐기물스티커 1000원권,3,성광디자인(주),3000,0,184,552000,0,M,2003-11-10,1,1,2020-09-15
A00000093,2003-11-05,스티커 5000원,3,성광디자인(주),5000,0,184,920000,0,M,2003-11-17,1,1,2020-09-15
A00000093,2003-11-05,대형폐기물스티커 5000원권,3,성광디자인(주),5000,0,184,920000,0,M,2003-11-17,1,1,2020-09-15
A00000096,2003-12-02,일반용 20L,1,(주)제임스케미칼,600000,0,31.6,18960000,0,M,2004-09-14,1,1,2020-09-15
A00000096,2003-12-02,일반용 20L,1,(주)제임스케미칼,600000,0,31.6,18960000,0,M,2004-09-14,1,1,2020-09-15
A00000097,2004-01-12,사업장용 100L,1,(주)제임스케미칼,100000,0,117.3,11730000,200,M,2005-03-31,1,1,2020-09-15
A00000097,2004-01-12,사업장생활계용(특수용) 100L,1,(주)제임스케미칼,100000,0,117.3,11730000,200,M,2005-03-31,1,1,2020-09-15
A00000098,2004-05-24,스티커 1000원,3,광창인쇄,10000,0,184,1840000,0,M,2004-06-29,1,1,2020-09-15
A00000098,2004-05-24,대형폐기물스티커 1000원권,3,광창인쇄,10000,0,184,1840000,0,M,2004-06-29,1,1,2020-09-15
A00000099,2004-05-24,스티커 5000원,3,광창인쇄,5000,0,184,920000,0,M,2004-06-29,1,1,2020-09-15
A00000099,2004-05-24,대형폐기물스티커 5000원권,3,광창인쇄,5000,0,184,920000,0,M,2004-06-29,1,1,2020-09-15
A00000100,2004-06-14,일반용 5L,1,(주)제임스케미칼,100000,0,13.8,1380000,0,M,2004-06-24,1,1,2020-09-15
A00000100,2004-06-14,일반용 5L,1,(주)제임스케미칼,100000,0,13.8,1380000,0,M,2004-06-24,1,1,2020-09-15
A00000101,2004-08-02,일반용 10L,1,(주)제임스케미칼,120000,0,19.6,2352000,120000,D,2004-08-02,1,1,2020-09-15
A00000101,2004-08-02,일반용 10L,1,(주)제임스케미칼,120000,0,19.6,2352000,120000,D,2004-08-02,1,1,2020-09-15
A00000102,2004-08-02,일반용 20L,1,(주)제임스케미칼,30000,0,31.6,948000,30000,D,2004-08-02,1,1,2020-09-15
A00000102,2004-08-02,일반용 20L,1,(주)제임스케미칼,30000,0,31.6,948000,30000,D,2004-08-02,1,1,2020-09-15
A00000104,2004-08-02,일반용 100L,1,(주)제임스케미칼,50000,0,125.7,6285000,0,M,2005-03-31,1,1,2020-09-15
A00000104,2004-08-02,일반용 100L,1,(주)제임스케미칼,50000,0,125.7,6285000,0,M,2005-03-31,1,1,2020-09-15
A00000105,2004-08-03,일반용 10L,1,(주)제임스케미칼,100000,0,19.6,1960000,0,M,2004-10-06,1,1,2020-09-15
A00000105,2004-08-03,일반용 10L,1,(주)제임스케미칼,100000,0,19.6,1960000,0,M,2004-10-06,1,1,2020-09-15
A00000106,2004-08-04,일반용 10L,1,(주)제임스케미칼,20000,0,19.6,392000,0,M,2004-09-14,1,1,2020-09-15
A00000106,2004-08-04,일반용 10L,1,(주)제임스케미칼,20000,0,19.6,392000,0,M,2004-09-14,1,1,2020-09-15
A00000107,2004-08-04,일반용 20L,1,(주)제임스케미칼,30000,0,31.6,948000,0,M,2004-09-14,1,1,2020-09-15
A00000107,2004-08-04,일반용 20L,1,(주)제임스케미칼,30000,0,31.6,948000,0,M,2004-09-14,1,1,2020-09-15
A00000108,2004-08-24,음식물 2L,1,(주)제임스케미칼,100000,0,11,1100000,0,M,2004-09-20,1,1,2020-09-15
A00000108,2004-08-24,음식물 2L,1,(주)제임스케미칼,100000,0,11,1100000,0,M,2004-09-20,1,1,2020-09-15
A00000109,2004-08-24,음식물 3L,1,(주)제임스케미칼,100000,0,13,1300000,0,M,2004-09-20,1,1,2020-09-15
A00000109,2004-08-24,음식물 3L,1,(주)제임스케미칼,100000,0,13,1300000,0,M,2004-09-20,1,1,2020-09-15
A00000111,2004-08-24,음식물 5L,1,(주)제임스케미칼,100000,0,16,1600000,0,M,2004-09-20,1,1,2020-09-15
A00000111,2004-08-24,음식물 5L,1,(주)제임스케미칼,100000,0,16,1600000,0,M,2004-09-20,1,1,2020-09-15
A00000114,2004-08-24,음식물 10L,1,(주)제임스케미칼,70000,0,22,1540000,0,M,2004-09-20,1,1,2020-09-15
A00000114,2004-08-24,음식물 10L,1,(주)제임스케미칼,70000,0,22,1540000,0,M,2004-09-20,1,1,2020-09-15
A00000118,2004-08-24,음식물 20L,1,(주)제임스케미칼,50000,0,36,1800000,0,M,2004-09-20,1,1,2020-09-15
A00000118,2004-08-24,음식물 20L,1,(주)제임스케미칼,50000,0,36,1800000,0,M,2004-09-20,1,1,2020-09-15
A00000119,2004-10-04,일반용 20L,1,(주)제임스케미칼,300000,0,31.6,9480000,2000,M,2005-02-07,1,1,2020-09-15
A00000119,2004-10-04,일반용 20L,1,(주)제임스케미칼,300000,0,31.6,9480000,2000,M,2005-02-07,1,1,2020-09-15
A00000120,2004-10-04,일반용 10L,1,(주)제임스케미칼,300000,0,19.6,5880000,0,M,2005-03-31,1,1,2020-09-15
A00000120,2004-10-04,일반용 10L,1,(주)제임스케미칼,300000,0,19.6,5880000,0,M,2005-03-31,1,1,2020-09-15
A00000121,2004-10-12,음식물 2L,1,(주)제임스케미칼,120000,0,11,1320000,120000,D,2004-10-12,1,1,2020-09-15
A00000121,2004-10-12,음식물 2L,1,(주)제임스케미칼,120000,0,11,1320000,120000,D,2004-10-12,1,1,2020-09-15
A00000122,2004-10-12,음식물 3L,1,(주)제임스케미칼,120000,0,13,1560000,120000,D,2004-10-12,1,1,2020-09-15
A00000122,2004-10-12,음식물 3L,1,(주)제임스케미칼,120000,0,13,1560000,120000,D,2004-10-12,1,1,2020-09-15
A00000124,2004-10-12,음식물 5L,1,(주)제임스케미칼,80000,0,16,1280000,80000,D,2004-10-12,1,1,2020-09-15
A00000124,2004-10-12,음식물 5L,1,(주)제임스케미칼,80000,0,16,1280000,80000,D,2004-10-12,1,1,2020-09-15
A00000127,2004-10-12,음식물 10L,1,(주)제임스케미칼,80000,0,22,1760000,80000,D,2004-10-12,1,1,2020-09-15
A00000127,2004-10-12,음식물 10L,1,(주)제임스케미칼,80000,0,22,1760000,80000,D,2004-10-12,1,1,2020-09-15
A00000131,2004-10-12,음식물 20L,1,(주)제임스케미칼,80000,0,36,2880000,80000,D,2004-10-12,1,1,2020-09-15
A00000131,2004-10-12,음식물 20L,1,(주)제임스케미칼,80000,0,36,2880000,80000,D,2004-10-12,1,1,2020-09-15
A00000132,2004-10-13,음식물 2L,1,(주)제임스케미칼,120000,0,11,1320000,0,M,2004-11-12,1,1,2020-09-15
A00000132,2004-10-13,음식물 2L,1,(주)제임스케미칼,120000,0,11,1320000,0,M,2004-11-12,1,1,2020-09-15
A00000133,2004-10-13,음식물 3L,1,(주)제임스케미칼,120000,0,13,1560000,0,M,2004-10-18,1,1,2020-09-15
A00000133,2004-10-13,음식물 3L,1,(주)제임스케미칼,120000,0,13,1560000,0,M,2004-10-18,1,1,2020-09-15
A00000135,2004-10-13,음식물 5L,1,(주)제임스케미칼,80000,0,16,1280000,0,M,2004-11-12,1,1,2020-09-15
A00000135,2004-10-13,음식물 5L,1,(주)제임스케미칼,80000,0,16,1280000,0,M,2004-11-12,1,1,2020-09-15
A00000138,2004-10-13,음식물 10L,1,(주)제임스케미칼,80000,0,22,1760000,0,M,2004-11-12,1,1,2020-09-15
A00000138,2004-10-13,음식물 10L,1,(주)제임스케미칼,80000,0,22,1760000,0,M,2004-11-12,1,1,2020-09-15
A00000142,2004-10-13,음식물 20L,1,(주)제임스케미칼,80000,0,36,2880000,0,M,2004-11-12,1,1,2020-09-15
A00000142,2004-10-13,음식물 20L,1,(주)제임스케미칼,80000,0,36,2880000,0,M,2004-11-12,1,1,2020-09-15
A00000143,2004-11-18,음식물 2L,1,(주)제임스케미칼,200000,0,11,2200000,0,M,2004-12-28,1,1,2020-09-15
A00000143,2004-11-18,음식물 2L,1,(주)제임스케미칼,200000,0,11,2200000,0,M,2004-12-28,1,1,2020-09-15
A00000144,2004-11-18,음식물 3L,1,(주)제임스케미칼,50000,0,13,650000,0,M,2004-12-28,1,1,2020-09-15
A00000144,2004-11-18,음식물 3L,1,(주)제임스케미칼,50000,0,13,650000,0,M,2004-12-28,1,1,2020-09-15
A00000145,2004-12-21,일반용 100L,1,(주)제임스케미칼,53000,0,125.7,6662100,0,M,2005-03-31,1,1,2020-09-15
A00000145,2004-12-21,일반용 100L,1,(주)제임스케미칼,53000,0,125.7,6662100,0,M,2005-03-31,1,1,2020-09-15
A00000146,2005-01-19,음식물 2L,1,(주)제임스케미칼,50000,0,11,550000,0,M,2005-02-03,1,1,2020-09-15
A00000146,2005-01-19,음식물 2L,1,(주)제임스케미칼,50000,0,11,550000,0,M,2005-02-03,1,1,2020-09-15
A00000147,2005-01-19,음식물 3L,1,(주)제임스케미칼,50000,0,13,650000,0,M,2005-02-03,1,1,2020-09-15
A00000147,2005-01-19,음식물 3L,1,(주)제임스케미칼,50000,0,13,650000,0,M,2005-02-03,1,1,2020-09-15
A00000149,2005-01-19,음식물 5L,1,(주)제임스케미칼,50000,0,16,800000,0,M,2005-02-03,1,1,2020-09-15
A00000149,2005-01-19,음식물 5L,1,(주)제임스케미칼,50000,0,16,800000,0,M,2005-02-03,1,1,2020-09-15
A00000152,2005-01-19,음식물 10L,1,(주)제임스케미칼,30000,0,22,660000,0,M,2005-02-03,1,1,2020-09-15
A00000152,2005-01-19,음식물 10L,1,(주)제임스케미칼,30000,0,22,660000,0,M,2005-02-03,1,1,2020-09-15
A00000156,2005-01-19,음식물 20L,1,(주)제임스케미칼,20000,0,36,720000,0,M,2005-02-03,1,1,2020-09-15
A00000156,2005-01-19,음식물 20L,1,(주)제임스케미칼,20000,0,36,720000,0,M,2005-02-03,1,1,2020-09-15
A00000157,2005-03-10,일반용 20L,1,(주)제임스케미칼,100000,0,38.7,3870000,100000,D,2005-03-15,1,1,2020-09-15
A00000157,2005-03-10,일반용 20L,1,(주)제임스케미칼,100000,0,38.7,3870000,100000,D,2005-03-15,1,1,2020-09-15
A00000158,2005-03-10,일반용 50L,1,(주)제임스케미칼,99000,0,84.31,8346690,99000,D,2005-03-15,1,1,2020-09-15
A00000158,2005-03-10,일반용 50L,1,(주)제임스케미칼,99000,0,84.31,8346690,99000,D,2005-03-15,1,1,2020-09-15
A00000159,2005-03-28,음식물 3L,1,(주)서림케미칼,30000,0,13,390000,0,M,2005-04-12,1,1,2020-09-15
A00000159,2005-03-28,음식물 3L,1,(주)서림케미칼,30000,0,13,390000,0,M,2005-04-12,1,1,2020-09-15
A00000160,2005-03-29,음식물 5L,1,(주)서림케미칼,50000,0,16.94,847000,50000,D,2005-03-29,1,1,2020-09-15
A00000160,2005-03-29,음식물 5L,1,(주)서림케미칼,50000,0,16.94,847000,50000,D,2005-03-29,1,1,2020-09-15
A00000161,2005-03-29,음식물 10L,1,(주)서림케미칼,30000,0,23.4,702000,30000,D,2005-03-29,1,1,2020-09-15
A00000161,2005-03-29,음식물 10L,1,(주)서림케미칼,30000,0,23.4,702000,30000,D,2005-03-29,1,1,2020-09-15
A00000163,2005-03-29,음식물 20L,1,(주)서림케미칼,20000,0,38.7,774000,20000,D,2005-03-29,1,1,2020-09-15
A00000163,2005-03-29,음식물 20L,1,(주)서림케미칼,20000,0,38.7,774000,20000,D,2005-03-29,1,1,2020-09-15
A00000164,2005-03-29,음식물 3L,1,(주)서림케미칼,30000,0,13,390000,30000,D,2005-03-29,1,1,2020-09-15
A00000164,2005-03-29,음식물 3L,1,(주)서림케미칼,30000,0,13,390000,30000,D,2005-03-29,1,1,2020-09-15
A00000165,2005-03-30,음식물 5L,1,(주)서림케미칼,50000,0,16.94,847000,0,M,2005-04-06,1,1,2020-09-15
A00000165,2005-03-30,음식물 5L,1,(주)서림케미칼,50000,0,16.94,847000,0,M,2005-04-06,1,1,2020-09-15
A00000166,2005-03-30,음식물 10L,1,(주)서림케미칼,30000,0,23.4,702000,0,M,2005-04-12,1,1,2020-09-15
A00000166,2005-03-30,음식물 10L,1,(주)서림케미칼,30000,0,23.4,702000,0,M,2005-04-12,1,1,2020-09-15
A00000168,2005-03-30,음식물 20L,1,(주)서림케미칼,20000,0,38.7,774000,0,M,2005-04-12,1,1,2020-09-15
A00000168,2005-03-30,음식물 20L,1,(주)서림케미칼,20000,0,38.7,774000,0,M,2005-04-12,1,1,2020-09-15
A00000169,2005-03-31,일반용 20L,1,(주)서림케미칼,100000,0,38.7,3870000,0,M,2005-04-12,1,1,2020-09-15
A00000169,2005-03-31,일반용 20L,1,(주)서림케미칼,100000,0,38.7,3870000,0,M,2005-04-12,1,1,2020-09-15
A00000170,2005-03-31,일반용 50L,1,(주)서림케미칼,99000,0,84.31,8346690,0,M,2005-04-13,1,1,2020-09-15
A00000170,2005-03-31,일반용 50L,1,(주)서림케미칼,99000,0,84.31,8346690,0,M,2005-04-13,1,1,2020-09-15
A00000171,2005-04-28,음식물 3L,1,(주)서림케미칼,30000,0,13,390000,0,M,2005-05-24,1,1,2020-09-15
A00000171,2005-04-28,음식물 3L,1,(주)서림케미칼,30000,0,13,390000,0,M,2005-05-24,1,1,2020-09-15
A00000172,2005-04-28,음식물 5L,1,(주)서림케미칼,60000,0,16.94,1016400,0,M,2005-05-24,1,1,2020-09-15
A00000172,2005-04-28,음식물 5L,1,(주)서림케미칼,60000,0,16.94,1016400,0,M,2005-05-24,1,1,2020-09-15
A00000173,2005-05-13,일반용 20L,1,(주)서림케미칼,80000,0,38.7,3096000,0,M,2005-06-01,1,1,2020-09-15
A00000173,2005-05-13,일반용 20L,1,(주)서림케미칼,80000,0,38.7,3096000,0,M,2005-06-01,1,1,2020-09-15
A00000174,2005-05-30,일반용 5L,1,(주)서림케미칼,200000,0,16.94,3388000,0,M,2005-07-01,1,1,2020-09-15
A00000174,2005-05-30,일반용 5L,1,(주)서림케미칼,200000,0,16.94,3388000,0,M,2005-07-01,1,1,2020-09-15
A00000175,2005-05-30,일반용 20L,1,(주)서림케미칼,100000,0,38.7,3870000,0,M,2005-06-24,1,1,2020-09-15
