tip,sex,smoker,day,time,size
1.5,Male,No,Fri,Dinner,2
2.5,Female,Yes,Fri,Dinner,2
3.0,Female,Yes,Fri,Dinner,2
2.5,Female,Yes,Sat,Dinner,3
3.48,Female,Yes,Sat,Dinner,2
4.08,Female,No,Sat,Dinner,2
1.64,Male,Yes,Sat,Dinner,2
4.06,Male,Yes,Sat,Dinner,2
4.29,Male,Yes,Sat,Dinner,2
3.76,Male,No,Sat,Dinner,2
4.0,Female,Yes,Sat,Dinner,2
3.0,Male,No,Sat,Dinner,2
1.0,Female,No,Sat,Dinner,1
4.0,Male,No,Sun,Dinner,3
2.55,Male,No,Sun,Dinner,2
4.0,Female,No,Sun,Dinner,3
3.5,Female,No,Sun,Dinner,2
5.07,Male,No,Sun,Dinner,4
1.5,Female,No,Thur,Lunch,2
1.8,Female,No,Thur,Lunch,2
2.92,Female,No,Thur,Lunch,4
2.31,Male,No,Thur,Lunch,2
1.68,Female,No,Thur,Lunch,2
2.5,Male,No,Thur,Lunch,2
2.0,Male,No,Thur,Lunch,2
2.52,Female,No,Thur,Lunch,2
4.2,Female,No,Thur,Lunch,6
1.48,Male,No,Thur,Lunch,2
2.0,Female,No,Thur,Lunch,2
2.0,Female,No,Thur,Lunch,2
2.18,Male,No,Thur,Lunch,3
1.5,Male,No,Thur,Lunch,2
2.83,Female,No,Thur,Lunch,2
1.5,Female,No,Thur,Lunch,2
2.0,Female,No,Thur,Lunch,2
3.25,Female,No,Thur,Lunch,2
1.25,Female,No,Thur,Lunch,2
2.0,Female,No,Thur,Lunch,2
2.0,Female,No,Thur,Lunch,2
2.0,Male,Yes,Thur,Lunch,2
2.75,Female,No,Thur,Lunch,2
3.5,Female,No,Thur,Lunch,2
6.7,Male,No,Thur,Lunch,6
5.0,Male,No,Thur,Lunch,5
5.0,Female,No,Thur,Lunch,6
2.3,Female,No,Thur,Lunch,2
1.5,Female,No,Thur,Lunch,2
1.36,Female,No,Thur,Lunch,3
1.63,Female,No,Thur,Lunch,2
1.73,Male,No,Thur,Lunch,2
2.0,Male,No,Thur,Lunch,2
2.5,Male,No,Sun,Dinner,2
2.0,Male,No,Sun,Dinner,2
2.74,Male,No,Sun,Dinner,3
2.0,Male,No,Sun,Dinner,4
2.0,Male,No,Sun,Dinner,4
5.14,Female,No,Sun,Dinner,5
5.0,Male,No,Sun,Dinner,6
3.75,Female,No,Sun,Dinner,4
2.61,Female,No,Sun,Dinner,2
2.0,Male,No,Sun,Dinner,4
3.5,Male,No,Sun,Dinner,4
2.5,Male,No,Sun,Dinner,2
2.0,Female,No,Sun,Dinner,3
2.0,Male,No,Sun,Dinner,2
3.0,Female,Yes,Sun,Dinner,2
3.48,Male,No,Sun,Dinner,3
2.24,Male,No,Sun,Dinner,2
4.5,Male,No,Sun,Dinner,4
1.61,Female,Yes,Sat,Dinner,2
2.0,Female,Yes,Sat,Dinner,2
10.0,Male,Yes,Sat,Dinner,3
3.16,Male,Yes,Sat,Dinner,2
5.15,Male,Yes,Sun,Dinner,2
3.18,Male,Yes,Sun,Dinner,2
4.0,Male,Yes,Sun,Dinner,2
3.11,Male,Yes,Sun,Dinner,2
2.0,Male,Yes,Sun,Dinner,2
2.0,Male,Yes,Sun,Dinner,2
4.0,Female,Yes,Sun,Dinner,2
3.55,Male,Yes,Sun,Dinner,2
3.68,Male,Yes,Sun,Dinner,4
5.65,Male,Yes,Sun,Dinner,2
3.5,Male,Yes,Sun,Dinner,3
6.5,Male,Yes,Sun,Dinner,4
3.0,Male,Yes,Sun,Dinner,2
5.0,Male,No,Sun,Dinner,5
3.5,Female,Yes,Sun,Dinner,3
2.0,Male,Yes,Sun,Dinner,5
3.5,Female,Yes,Sun,Dinner,3
4.0,Male,Yes,Sun,Dinner,3
1.5,Male,Yes,Sun,Dinner,2
4.19,Female,Yes,Thur,Lunch,2
2.56,Male,Yes,Thur,Lunch,2
2.02,Male,Yes,Thur,Lunch,2
4.0,Male,Yes,Thur,Lunch,2
1.44,Male,No,Thur,Lunch,2
2.0,Male,Yes,Thur,Lunch,2
5.0,Female,Yes,Thur,Lunch,4
2.0,Female,Yes,Thur,Lunch,2
2.0,Male,Yes,Thur,Lunch,2
4.0,Male,Yes,Thur,Lunch,3
2.01,Female,Yes,Thur,Lunch,2
2.0,Female,Yes,Thur,Lunch,2
2.5,Female,Yes,Thur,Lunch,2
4.0,Male,Yes,Thur,Lunch,4
3.23,Female,Yes,Thur,Lunch,3
3.41,Male,Yes,Sat,Dinner,3
3.0,Male,Yes,Sat,Dinner,4
2.03,Male,Yes,Sat,Dinner,2
2.23,Female,Yes,Sat,Dinner,2
2.0,Male,Yes,Sat,Dinner,3
5.16,Male,Yes,Sat,Dinner,4
9.0,Male,No,Sat,Dinner,4
2.5,Female,Yes,Sat,Dinner,2
6.5,Female,Yes,Sat,Dinner,3
1.1,Female,Yes,Sat,Dinner,2
3.0,Male,Yes,Sat,Dinner,5
1.5,Male,Yes,Sat,Dinner,2
1.44,Male,Yes,Sat,Dinner,2
3.09,Female,Yes,Sat,Dinner,4
2.2,Male,Yes,Fri,Lunch,2
3.48,Female,Yes,Fri,Lunch,2
1.92,Male,Yes,Fri,Lunch,1
3.0,Female,No,Fri,Lunch,3
1.58,Male,Yes,Fri,Lunch,2
2.5,Female,Yes,Fri,Lunch,2
2.0,Female,Yes,Fri,Lunch,2
3.0,Male,No,Sat,Dinner,4
2.72,Male,No,Sat,Dinner,2
2.88,Female,Yes,Sat,Dinner,2
2.0,Male,Yes,Sat,Dinner,4
3.0,Male,Yes,Sat,Dinner,3
3.39,Male,No,Sat,Dinner,2
1.47,Male,No,Sat,Dinner,2
3.0,Male,Yes,Sat,Dinner,2
1.25,Male,No,Sat,Dinner,2
1.0,Male,Yes,Sat,Dinner,2
1.17,Male,Yes,Sat,Dinner,2
4.67,Female,No,Sat,Dinner,3
5.92,Male,No,Sat,Dinner,3
2.0,Female,Yes,Sat,Dinner,2
2.0,Male,Yes,Sat,Dinner,2
1.75,Male,No,Sat,Dinner,2
3.0,Female,No,Thur,Dinner,2
